art_no,name,competitor,link
20522046,BILLY N4 bookc 31 1/2x11x79 1/2  white,Amazon,https://www.amazon.com/Furinno-Bookcase-Bookshelf-Adjustable-Shelves/dp/B0DC5YJ64F/ref=sr_1_33?crid=2K9X7RBFWFVFP&dib=eyJ2IjoiMSJ9.Z43SS_4dJjEMAuFSobcjssZObXpzHamvK1ejzy1eZE2XSSMIWuY_8rsNgomh9hMQZdoceH9YTJebWYKMBWde_IAO4MT8Iccauni1kNQ0E0AROpYkIMnqPCKmaWcn2kPtWg29dY5xjGzBFo_FWbyOFBSLqJcCtMqBNR6IruGs-fUT-7nQAZdLhfhaJkH86fRGPoqePog6Tr8YNT6YgfW-ri-0zUdOiNypjP5il8m7UyQCSoxmdaCMpYvYTTkCip8JcRM-KmP7uw4NpCOLyaXbt5MGNMnQQYmWXDvSGntQav5fcP9gxCFmO6ic7i3yv_RsObETHFmStifjLadUFqZpNFkF1Az2nUNXVzwY-G4b_t39KqxIquUBp-DN7hSbS4FfDX2i8h8ZtSIVmIuPb2828fUmlmhW3VGfwZ5W74YdEj1uDb7kc9xYNopqByayuOdI.NgiNtoJ2SeUvQCmkwrt9UQ8lCgALNcCtD9vC338xC-w&dib_tag=se&keywords=30%2Bx%2B80%22%2Bwhite%2Bbookcase&qid=1742996431&sprefix=30%2Bx%2B80%2Bwhite%2Bbookcase%2Caps%2C85&sr=8-33&th=1
20522046,BILLY N4 bookc 31 1/2x11x79 1/2  white,Target,https://www.target.com/p/5-shelf-bookcase-room-essentials-153/-/A-54376271?preselect=54360637#lnk=sametab
20522046,BILLY N4 bookc 31 1/2x11x79 1/2  white,Target,https://www.target.com/p/fontoi-decorative-bookshelf-bookcase-with-adjustable-shelves-large-bookshelf-with-5-shelves-for-living-room-bedroom-white-11-6-24-4-68-9/-/A-1002594726#lnk=sametab
587623,"Built-in dishwasher, white, 24 ",Best Buy,https://www.bestbuy.com/site/frigidaire-24-front-control-built-in-dishwasher-with-energy-saver-dry-62dba-white/6433841.p?skuId=6433841
0,"BUMERANG hanger, natural 8pk",Amazon,https://www.amazon.com/Amazon-Basics-Wood-Clothes-Hangers/dp/B096W8ZZCV/ref=sr_1_1?crid=3IJVYSNSDC3W8&dib=eyJ2IjoiMSJ9.OSHVlEhR4r9nqOQRm8srE8zUaYkhF23wzTkcNO7cLbjFM3Kpma9ilzU5pgcunlGtlFQTy0bFRBn6A1MLyNfo5dT7sAxY8bzFF2Im5atvRtZjo39WjhsvyCiawG7bc2NVn6kbaYIpS7yvDASd5FAEuzrxh13Vkk-EVT2EkNyxu08AlXT9xyKxOkQPsZECgmdTLouq8mMvek6yXyVu4f6-fKFvDRGSYZJ5VCyqXQjCHOBntTP7Rhwn00_m0QgAYCi8YW9daWqZS4RsKX4rgFUi81h-LYSJmlpOtSba46AanM9K84c9AD8yNDXgm7MSas38GVbOzKvIunErk9OKAIeqI4Szzb_s0JbigLDFZ-1KAaI.8qYSgeOhGNKBe_SEkE4mWfTvVEAo0bcRZ4uJXyrt9Zk&dib_tag=se&keywords=amazon%2Bbasic%2Bwooden%2Bhanger&qid=1742218146&refinements=p_n_feature_forty-seven_browse-bin%3A24677333011&rnid=21180941011&s=home-garden&sprefix=amazon%2Bbasic%2Bwooden%2Bhanger%2Caps%2C80&sr=1-1&th=1
0,"BUMERANG hanger, natural 8pk",Home Depot,https://www.homedepot.com/pep/HDX-Natural-Maple-Hangers-5-Pack-1009759/307897319?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-BF-CDP-GGL-D25S-023_007_ORGANIZATION-NA-NA-NA-PLALIA-D59S-NA-NA-NA-NBR-NA-NA-NEW-FY23_Shopping_BControl24&cm_mmc=SHOPPING-BF-CDP-GGL-D25S-023_007_ORGANIZATION-NA-NA-NA-PLALIA-D59S-NA-NA-NA-NBR-NA-NA-NEW-FY23_Shopping_BControl24-21273847564-157292882090-2272709494060&gad_source=1&gclid=CjwKCAiA34S7BhAtEiwACZzv4XPLL3opbGjhc-bwgBFl6DDXcosld516JWM7lv83Rg0aDAkkx9Bb0hoCNTwQAvD_BwE&gclsrc=aw.ds#overlay
0,"BUMERANG hanger, natural 8pk",Target,https://www.target.com/p/4pk-wood-suit-hangers-natural-brightroom-8482/-/A-83521692#lnk=sametab
0,"BUMERANG hanger, natural 8pk",Wal-mart,https://www.walmart.com/ip/Better-Homes-Gardens-Wood-Suit-Hangers-for-Adult-5-Pack-Walnut-Finish/973003303?wmlspartner=wlpa&selectedSellerId=0&wl13=4687&gclsrc=aw.ds&adid=22222222277973003303_117755028669_12420145346&wl0=&wl1=g&wl2=c&wl3=501107745824&wl4=pla-394283752452&wl5=9007378&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=973003303&veh=sem_LIA&gclsrc=aw.ds&gad_source=1&gclid=CjwKCAiA34S7BhAtEiwACZzv4W-qRMr394e7-U5aYxzr1qnKaKGIFXe5K2U2GltElIw705ToEBmWDRoCmXoQAvD_BwE
0,CYMBALBLOMMA dc/pc FU/QN (DBL/QN) white/blue,Amazon,https://www.amazon.com/organictune-Duvet-Cover-Twin-Size/dp/B0DM8LTCKJ/ref=sr_1_3?crid=1R2UIH332HL6&dib=eyJ2IjoiMSJ9.n7o7yrqPEpC9_vzO31MMqVrJBoLU1ERh_4Co8F7hZYDjQIv8ZyaawlPDYqmRF5nPfkOR2JCSHeEf02bDMDPBBa8RyeMKmhrhnLe7NsEfO_SO5Mk6zJNsyuYw7sku46sAww2chnDdTMDJUPfM-z_edDkuVIfnjyiG6zRj2uOIheAI8VbWh_6DhDsoAbZuSqDPHvjq-igiSwleoIbijoRDnIj5bZI5uMi2PChtgt7SatQwcCdSTDui4R5njOyoCNhmYejEFYrz0PjG0I-PQRGFTVTBNlfDLRghks_-AqlwEdg.I67fmvOtXq-82EedLamoSmBc1xQeFISDFtRf0M24M0c&dib_tag=se&keywords=duvet%2Bcover&qid=1746632021&refinements=p_n_size_browse-bin%3A362281011%2Cp_n_material_browse%3A10671088011&rnid=316545011&s=home-garden&sprefix=duvet%2Bcover%2Cgarden%2C119&sr=1-3&th=1
0,CYMBALBLOMMA dc/pc FU/QN (DBL/QN) white/blue,Target,https://www.target.com/p/easy-care-duvet-cover-and-sham-set-room-essentials/-/A-89524384?preselect=89223360#lnk=sametab
60319972,Duktig,Amazon,https://www.amazon.com/PHGLL-Clicking-Microwave-Telephone-Toddlers/dp/B0F1F5MD11/ref=sr_1_14_sspa?crid=1S20FTT5F55DY&dib=eyJ2IjoiMSJ9.Z353kk3KVoL7HGKU1sSEIOCrAppn1wsESWjiBG7TEznIkzZRVuopgSrcYp3_xkuh9ANXuoAXfvsLuoFbdChemRgWmHR-jfYoDmEp5BQe0AoQ_BgVMkWOhRuiD2Q8s_-6aiIn2OT6OEddsPDSmlMmI78763JgwwmGwTC8bgPaGld4h-BZ5731BZhbaR2FXIJrXG01gvSg2Vyo8_DvyOyF3NEejHOwkfHyNObWcQhYdif0Ce35VQZgfOtUBrVxVtYpZJI0EtamHT9dTFhXCfixeO0q5tnyjTnQS7wTklYuOn4.LRmsulEgBDPFmrFVVX7c6tSATvZTAjuvfdB2gRbLiiY&dib_tag=se&keywords=play%2Bkitchen&qid=1746643901&s=home-garden&sprefix=play%2Bkitchen%2Cgarden%2C113&sr=1-14-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
60319972,Duktig,Target,https://www.target.com/p/qaba-wooden-play-kitchen-with-realistic-lights-and-sounds-height-adjustable-kids-kitchen-playset-with-microwave-range-hood-white/-/A-87713088
40349531,FEJKA 3 1/2 hanging,Amazon,https://www.amazon.com/Whonline-Artificial-Hanging-Plants-Outdoor/dp/B091647KGL/ref=sr_1_49_sspa?crid=U9PE0OWHC2N6&dib=eyJ2IjoiMSJ9.Pdi4gl3GpfvLP-tGNKmwzi69hEWj2XDT_zV_K1d6qmCxQUwHtIWAGWLs-DZ8iN1i5q4oKJHaZ92aQicPf9QVd-hKDbq_EiuL7yH9SQICEXN4LJU1HVQLYUo1to1VKR3dLHelwxDfilgxY_hAF4IWsWK_lwhCnO4WHTDlk5ymqV3lnsWJ6EGddjWfP9dI0-_4ksZE_44BokVDNNMnclxj98lNNNpMwNv7x_TJ3wVczg9EVfF5nM9m32T5AVMf6AE9b1lXRQ9tYQOhIJcRegaMJdBH13UBZFjKkfwOHVZDZjs.WYGruc5t4Sa3Jxy3d2xhrulNyxjBbAmtlp6ajqlkR7Y&dib_tag=se&keywords=fake%2Bhanging%2Bplant&qid=1743002420&sprefix=fake%2Bhanging%2Bplant%2Caps%2C65&sr=8-49-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
40349531,FEJKA 3 1/2 hanging,Wal-mart,https://www.walmart.com/ip/QCQHDU-1-Pack-Artificial-Hanging-Potted-Plants-Fake-Hanging-Plants-Eucalyptus-with-Pot-for-Home-Living-Room-Decor-Indoor/2022387877?classType=VARIANT&from=/search
70466811,FEJKA 3 1/2 hanging eucalyptus,Amazon,https://www.amazon.com/HOFMEFY-Artificial-Hanging-Eucalyptus-Greenery/dp/B0B71KSKPY/ref=sr_1_13_sspa?crid=Z994BYKE30MW&dib=eyJ2IjoiMSJ9.G7HolvfUXRHLNOlKiOLJdfEmewHVuUtSVnAxzkYP81Bc2z86wToKAaq2Ji16Ms3jCamYB4C8a6LXrNS2Z4JG1H7_5YjBxkncZpTw5yxrdAZD4j7IGnndtwk5itCOCvdBIY58xzGxaHptdRm2LNFm7GRwMGleoTUzHmCQ16_Pv3cpFb3wBdjm5U4IC79vSR5jNo8HHXlz8Qokn6E0cFeK8-cnq9oHtojC7u-GX9C8atjtkpIW5ySh4rTVfFr613ovIOhSVwF11r5aFbEzvAmt3QcpR3L_RqtI8Od_FdkBYic.3LdNMdtYb3OTRggL5AwzH7lLpUhBDpLfKeL2Kmb2I38&dib_tag=se&keywords=fake+hanging+eucalyptus+vine&qid=1743002767&sprefix=fake+hanging+eucalyptus+vine%2Caps%2C72&sr=8-13-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
70466811,FEJKA 3 1/2 hanging eucalyptus,Wal-mart,https://www.walmart.com/ip/QCQHDU-1-Pack-Artificial-Hanging-Potted-Plants-Fake-Hanging-Plants-Eucalyptus-with-Pot-for-Home-Living-Room-Decor-Indoor/2022387877?classType=VARIANT&from=/search
30493350,FEJKA 4 3/4 monstera,Amazon,https://www.amazon.com/HCCY-Plants-Leaves-Artificial-Decorative/dp/B09TYZR9CZ/ref=sr_1_6?crid=3L8U3EIHFJAOP&dib=eyJ2IjoiMSJ9.9rgcF6LMONS5c6B55PZzN55LnQuFj3Pp0jrQ84Yzi1G6I4QsXTuUBHW1TQ7f95IsfgL1B-OvlQ0SYkguGSeAI7oUocO8znOKSacCyZ7gTffHvUBdB1zAymn4h-4YVLv2eEwfvJ2Aaf2dwGzA82weit4GIswb3LpjjwPnMmnMtSymRqukZaxhPZrd2YWJSJAsTwK7GMlkqBsK4WRx9DfBycs0tlBYObSyng_NiSjjooH-064wyjDkPmnh94YGbLfB7qnw_FxtOqPVvyAzZz6NgXAB2NuEqT0mLHfAn8fenlhG_lU4J-mTwo42h8Pc_nsAT9K7g5bzB3SdH2k6rAOo2ZzPUZaXS7Gnq_76EiZstpZVMLNwNNWm5jSJLTK_dlGyOt3dTGU4bkLaXNcg6RFyTKTXqucaHN4P32s2byRO12mUr8tpx0OPWP4A_NVWQsg8.icUPBCwydZurpRmPFFbUgBee-s2M2VF90GaDzOSbHH4&dib_tag=se&keywords=small+fake+monstera+plant&qid=1743002644&sprefix=small+fake+monstera+plant%2Caps%2C72&sr=8-6
30493350,FEJKA 4 3/4 monstera,Target,https://www.target.com/p/4-6-34-x7-2-34-monstera-artificial-plant-room-essentials-8482/-/A-91065703#lnk=sametab
30493350,FEJKA 4 3/4 monstera,Wal-mart,https://www.walmart.com/ip/Mini-Fake-Plant-Artificial-Potted-Monstera-Plant-Decor-Bonsai-Ornament-Faux-Monstera-with-Pot/15240806567?classType=REGULAR&from=/search
60546578,FEJKA 4 3/4 tradescantia,Target,https://www.target.com/p/8-34-trailing-zebrina-artificial-plant-threshold-8482/-/A-82716209#lnk=sametab
70491575,FEJKA 8 1/4 weeping fig,Amazon,https://www.amazon.com/DREAMADE-Potted-Artificial-Weeping-Decoration/dp/B0CS3Q6FVK/ref=sr_1_4?crid=2Q6EABGMG6508&dib=eyJ2IjoiMSJ9.JiuCppOw3hzIgxwBTGtPplmbjA-QUNB5OaTrV8xZCMR5iSwwhm4ak3qti1ziWjLQVaAdUjkiHaFQGbEPlaKwRSV9YXT49lBbo3NSVHjvGgb6pKMa6l0sbMjn-6c8J9HuwAUUjvHb2XyyC0iU_vasrRkF4BWZ1wJHIKItnSgwYhbP_2GyYJ5qXBVPUyak_EmadAL0GSwimffNMmzrxQlcHtTIjQDRW88sRbysqWMI6gl7N3ekR7Rnkuh5XRVs1Gj5Yzre4Es3gHiaINZ0TE9rgE0tMNDX9vVGVfgiajhNPMqXKi6YqGZhSHuBBkcrlJnPtu1foHA2to_H_s-PCMu0rj4s7rAxd8hZjNHaWWDaBQejUsClFUIvgDeVk7Ev3chMdmM-CMxojGlXjKeAFwhjRZSPt4NiJWPcADvEu-SUfO9wwwsIwhfYLreCXOt_6LrH.p37hvK7r23yj81nhQoQJMwGlHwM06DGXsyN1P5Oh0F4&dib_tag=se&keywords=fake%2Bweeping%2Bfig&qid=1743003190&sprefix=fake%2Bweeping%2Bfig%2Caps%2C64&sr=8-4&th=1
70491575,FEJKA 8 1/4 weeping fig,Target,https://www.target.com/p/artificial-tree-plant-eucalyptus-tree-6ft-tall-modern-large-fake-plant-decor-in-pot-for-indoor-outdoor-home-office-ideal-housewares-gift-decoration/-/A-93725880#lnk=sametab
70491575,FEJKA 8 1/4 weeping fig,Wal-mart,https://www.walmart.com/ip/Studio-350-Green-Faux-Foliage-Indoor-Outdoor-Weeping-Fig-Artificial-Tree-with-Realistic-Leaves-and-Black-Melamine-Pot-39-x-39-x-61/3048168758?classType=REGULAR&from=/search
40568892,FEJKA 9 bamboo,Amazon,https://www.amazon.com/Maia-Shop-Natural-Decoration-Artificial/dp/B07BFDJ284/ref=sr_1_2_sspa?crid=3D060DCSW5CA6&dib=eyJ2IjoiMSJ9.86Fx4WqS3zb68ZjAsWADAD1Xr8D46mE6ecn4HBMsXSK2_euqcfinktaHGiMLqfVViWf31PXUxMa_ZsHEavcOWF70D35mEhqdgE71FLHPwWs5zChP3rdfM1djETrlpX2D4B8prsvLTXlIseFsCCDLA1sQDwbLzCtF_J7t7nOdRye6X6K8BVJ6fNf3bsvjE7Ih6yZ7UzRF2n9xdsbzX1UF9V5H63VfLD5RkqWiCM8u5svqBiElX5vqRnYWfWntzsrqj-socMeB5V3N9hAJ_m988Pz6QWl-dOEhXkwnJD09r5Y.lHkS10U9NIfsfJAWcN14hdZyGjdWeEmwEuNU08BICZQ&dib_tag=se&keywords=fake%2Bbamboo&qid=1743003297&sprefix=fake%2Bbamboo%2Caps%2C79&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
40568892,FEJKA 9 bamboo,Target,https://www.target.com/p/homcom-6-artificial-bamboo-tree-potted-indoor-fake-plant-for-home-office-living-room-decor/-/A-90603957#lnk=sametab
40568892,FEJKA 9 bamboo,Wal-mart,https://www.walmart.com/ip/4-5-6-FT-Green-Artificial-Bamboo-Tree-Home-Decor-Real-Trunk-Lifelike-Leaves-Fake-Faux-Plants-Pot-Decor-Outdoor/13255013809
30578071,FEJKA 9 bird of paradise,Amazon,https://www.amazon.com/Artificial-Silk-Paradise-Tree-Potted/dp/B01IJI4SVQ/ref=sr_1_5?crid=14LZ15NI3N58L&dib=eyJ2IjoiMSJ9.9B6azEHwIs6HnfS7l9iIPf4YuO56Lvm4L8Ca-OycqootC1C1iVAN1Xy8AomKjuNxvwHe08sIa52P6MA7cjUAHrpJEEJpdk6rO6x8MpssnMiIX88tAzyWVZFJslM4F47nS0tkPmvnyEUirayC35t-IedYZ3029Ljx1zYYehmP1KbxNTY8Hhfm2EYD4_ugQFcDYZKPV8VyUV16G9PETymBMs4ke_Iy5k8vQlg9ytrzBnTwvbq83f1sVljNOmogwSbYU8yb-kP3CPEwF7bWNt5dxi1qpuCW7Q-Z0wfjlsoXIPnpI7Avtj3k5tVQSPZ7QJHmmOdlPpSn-0L9UnKTw2VXLBLjq48tS6AXfJ3tLO54JTixZkyFDPXNmaVQCwFih8wf6-6hvYCkzAILIGsy6UnDHkgE-oxQcOUEr188FwUBGFuuhP8pChiol33S08PuAGDc.Z2K0TV8Zmtc26Ha3YxOP3Jurzek__VGW-xbzv-maE9I&dib_tag=se&keywords=fake+bird+of+paradise&qid=1743002527&sprefix=fake+bird+of+paradise%2Caps%2C72&sr=8-5
30578071,FEJKA 9 bird of paradise,Target,https://www.target.com/p/maia-shop-artificial-faux-silk-bird-of-paradise-plant-5-feet-tall-indoor-tree-with-realistic-leaves-ideal-for-home-decor-60-inches-green/-/A-1001919805#lnk=sametab
30578071,FEJKA 9 bird of paradise,Wal-mart,https://www.walmart.com/ip/Artificial-Plants-5ft-Faux-Bird-Paradise-Tree-Fake-Plastic-Flower-Pre-Potted-Greenry-Tree-Home-Decor-Office-Living-Room-Indoor-Big-Plants-House/3712746267?classType=VARIANT&from=/search
80548185,FEJKA 9 kentia palm,Amazon,https://www.amazon.com/VIAGDO-Artificial-Detachable-Tropical-Lutescens/dp/B0B3HF2HHV/ref=sr_1_7?crid=350MHSY2U6T9C&dib=eyJ2IjoiMSJ9.0JgEdwmbCqduKnhh6moNnsFIUhHZcSeyM7aT8m9j-88v8IHFUdqefEKktSmcomzdrpG3LIphK9ueZeruwTYdqaayDUWnYywp5-tE4g1Jjn_QNyJIIAVLOCkxucjK6tki1zD9bw4I9eVMjVWAQJpKqVdmuq-QR88q6U1pqPVxugQh6wINEUnsBmfcpCUiJTgRZ5dkNo-onMlyeIi9GnDoCkJ_tAzhaEC4o5mMVmuTHH28rdkQPVzEG3V3T3wTPn35WZ9-qtpKdXbQdOglG_Cyz9Y5RiPJsLgfFQOsfaANxC_QHGQrm62dq-S1xrP4A3TyepW3TD8Rllkx3eSMI30YmbRe0gT7f6olngaBOdjrKECs2lNgFpFaGM0Up_M7U2iRetJpjQjxjFPlxYAU9c_VpFXYTfdkWX8QdE1vJ5OXi00d_0fFNV-QGDhC2TB4A6gU.TRqK4eTZqIznQRlnvWoIxebu1U7wzq3AhW3pSuXAGl8&dib_tag=se&keywords=fake%2Bkentia%2Bpalm&qid=1743002860&sprefix=fake%2Bkentia%2Bplam%2Caps%2C78&sr=8-7&th=1
80548185,FEJKA 9 kentia palm,Target,https://www.target.com/p/11-4-34-faux-palm-artificial-tree-room-essentials-8482/-/A-90005732#lnk=sametab
80548185,FEJKA 9 kentia palm,Wal-mart,https://www.walmart.com/ip/4-Kentia-Palm-Silk-Tree/16934009?classType=REGULAR&from=/search
40510839,FIKADAGS mix bowl 2.2 l white,Amazon,https://a.co/d/9puq2VV
40510839,FIKADAGS mix bowl 2.2 l white,Target,https://www.target.com/p/lidded-bowl-room-essentials/-/A-86702544?preselect=86052834#lnk=sametab
40510839,FIKADAGS mix bowl 2.2 l white,Wal-mart,https://www.walmart.com/ip/Mainstays-6-Quart-Bowl-Polypropylene-White/2400734887?classType=VARIANT&athbdg=L1200&from=%2Fsearch&sid=78b5acee-1fc4-4905-8168-6d09491ba77d
0,"FINTSEN bath mat 16x24"" white",Amazon,https://www.amazon.com/Scceatti-Bathroom-Welcome-Doormats-Products/dp/B0CCJMBG1M/ref=sr_1_2?crid=VAAWFOLYKB3C&dib=eyJ2IjoiMSJ9.yiJv9Jy9cJdh6m6vUeoEnkmnIE7qNtTWS8CA4VMvOxM6w3mVBw8cSLRYNutffhNQrOySLkP4QZllXtiQAb6az0VgnF79rY1LxLD5nYY5mQxAeymewtP0Zaz0xJEMlzdBGGxKi0eFe0EPIkvR-VnHDdcOTLGqwFAtNqvoSZPy6hLTlip71_rqlhzxufHglmQqtoy1mmxxhkQ5DjoiwbuvJI0lbBr3sbANpnUnc0nV7GrRPtiS0rdQNrqMmrc5JNOZ3HAJb_7JuN3V_yngvUSwaZnuc1NglnGFvGYXiFSqgWc.53ZYJzDd0V0UkArljFJ0_ZpkOIEHQLz7d9cOAOWCv4Y&dib_tag=se&keywords=bath%2Bmat&qid=1746632204&refinements=p_n_feature_fourteen_browse-bin%3A117987723011%2Cp_n_pattern_browse-bin%3A362242011%2Cp_n_feature_nine_browse-bin%3A23592653011%2Cp_n_material_two_browse-bin%3A8423189011%7C8423190011&rnid=8423167011&s=home-garden&sprefix=bath%2Bmat%2Cgarden%2C127&sr=1-2&th=1
70539228,FJÄDRAR inner cush 16x23  gray US,Amazon,https://www.amazon.com/Decorative-Inserts-Down-Inserts-Square-Cotton-Fabric-Set-2-White/dp/B074G1X469/ref=sr_1_5?crid=MNTQL35UEN8C&dib=eyJ2IjoiMSJ9.MQIiAn-rI5_snPjGAhH0AmZmIQlDDlr65gClsDg4rckWhAICAvLsMeQ3lYgTYUaoB28mrP_gnU4wClz2WUJMM8hNQcI0KEr69yxZPmZ7qy-VkEmcANTxfTsEqx3vRom2Rxb3uuVB4F3ESExsr_ZeORHqMoWSmV-BNH4d7EU23XTvwBZ6UFZkDak1K5rUk1RJ8TL0gUEz8NmgMyLNeoQd_AIWP58a_i-H3vgjCHqRn9Mey8up_z2Jxgv_eCW2Iny69__I9SZo8YLgjz7vewsfJXN2ITACNWz_WJp_VZW-ktyoggsHiBHsP3PzSeXc7Ld2UHa_CMDKXzFNEva5GImodU_t4ZqvOCNFLAVVSkLq8LKg5xJEda24_G3b9eaBHuS99jrVDjaXSb2AKhcVNcZxkucG_JTt7efi8G5ThT0Fxm2VirAFI9wxzp2OzfxBsjOO.1XAvwRAcm7FQ-BZDIK4BIGg9rEJBtmA5fn2LfSBgzLo&dib_tag=se&keywords=throw%2Bpillow%2Binsert%2Bdown%2Bfeather&qid=1741721049&sprefix=throw%2Bpillow%2Binsert%2Bdown%2Bfeather%2Caps%2C88&sr=8-5&th=1
70539228,FJÄDRAR inner cush 16x23  gray US,Target,https://www.target.com/p/feather-filled-throw-pillow-insert-white-threshold/-/A-89207048?preselect=83783315#lnk=sametab
60262188,FJÄDRAR inner cush 20x20 off-white US,Amazon,https://www.amazon.com/Decorative-Inserts-Down-Inserts-Square-Cotton-Fabric-Set-2-White/dp/B07KXLKR57/ref=sr_1_5?crid=MNTQL35UEN8C&dib=eyJ2IjoiMSJ9.MQIiAn-rI5_snPjGAhH0AmZmIQlDDlr65gClsDg4rckWhAICAvLsMeQ3lYgTYUaoB28mrP_gnU4wClz2WUJMM8hNQcI0KEr69yxZPmZ7qy-VkEmcANTxfTsEqx3vRom2Rxb3uuVB4F3ESExsr_ZeORHqMoWSmV-BNH4d7EU23XTvwBZ6UFZkDak1K5rUk1RJ8TL0gUEz8NmgMyLNeoQd_AIWP58a_i-H3vgjCHqRn9Mey8up_z2Jxgv_eCW2Iny69__I9SZo8YLgjz7vewsfJXN2ITACNWz_WJp_VZW-ktyoggsHiBHsP3PzSeXc7Ld2UHa_CMDKXzFNEva5GImodU_t4ZqvOCNFLAVVSkLq8LKg5xJEda24_G3b9eaBHuS99jrVDjaXSb2AKhcVNcZxkucG_JTt7efi8G5ThT0Fxm2VirAFI9wxzp2OzfxBsjOO.1XAvwRAcm7FQ-BZDIK4BIGg9rEJBtmA5fn2LfSBgzLo&dib_tag=se&keywords=throw%2Bpillow%2Binsert%2Bdown%2Bfeather&qid=1741721049&sprefix=throw%2Bpillow%2Binsert%2Bdown%2Bfeather%2Caps%2C88&sr=8-5&th=1
60262188,FJÄDRAR inner cush 20x20 off-white US,Target,https://www.target.com/p/feather-filled-throw-pillow-insert-white-threshold/-/A-89207048?preselect=83783318#lnk=sametab
0,"FJÄLLARNIKA duvet insert, light warm FU/QN US",Target,https://www.target.com/p/all-seasons-feather-down-comforter-threshold/-/A-87540485?preselect=87239755#lnk=sametab
0,"FJÄLLBRÄCKA duvet insert, light warm FU/QN US",Target,https://www.target.com/p/premium-down-comforter-casaluna/-/A-88411348?preselect=78306228#lnk=sametab
30591157,"FLÅBODA  Built-in dishwasher, panel-ready, 24 ",Home Depot,https://www.homedepot.com/p/Frigidaire-24-in-Top-Control-Built-In-Stainless-Steel-Panel-Ready-Dishwasher-FDSR4501AP/330386223#overlay
50587611,"FLACKSTA  Induction cooktop, black, 30 ",Home Depot,https://www.homedepot.com/p/Frigidaire-Gallery-30-in-Induction-Modular-Cooktop-in-Black-with-4-Burner-Elements-including-Bridge-Burner-for-Griddle-GCCI3067AB/319985853
40176950,FLUNDRA dish drainer white,Target,https://www.target.com/p/plastic-dish-drainer-white-brightroom-8482/-/A-87713035#lnk=sametab
40176950,FLUNDRA dish drainer white,Wal-mart,https://www.walmart.com/ip/Mainstays-Sink-Set-Plastic-Adult-White/5686159796?classType=VARIANT&athbdg=L1600&from=%2Fsearch&sid=117f3466-fd93-480c-82c0-d8e7a9adb3d9
50311269,FÖLJSAM oven dish 24.5x24.5 clear glass,Amazon,https://a.co/d/gU1xCln
50311269,FÖLJSAM oven dish 24.5x24.5 clear glass,Target,https://www.target.com/p/pyrex-8-34-x8-34-deep-dish-baker/-/A-85716615#lnk=sametab
50311269,FÖLJSAM oven dish 24.5x24.5 clear glass,Wal-mart,https://www.walmart.com/ip/Anchor-Hocking-Company-8-x-8-2-Quart-Clear-Essentials-Baking-Dish/44364957?classType=REGULAR&athbdg=L1600&from=%2Fsearch&sid=cd6a1a9a-16bc-4f6d-802f-bd8e1633d634
10578109,FÖRDUBBLA knife s2 grey NA,Amazon,https://a.co/d/dOOORVa
10578109,FÖRDUBBLA knife s2 grey NA,Target,https://www.target.com/p/cuisinart-classic-4pc-stainless-steel-utility-paring-knife-set-with-blade-guards-silver/-/A-88202495#lnk=sametab
10578109,FÖRDUBBLA knife s2 grey NA,Wal-mart,https://www.walmart.com/ip/Oster-Granger-2-Piece-Santoku-Knife-Set/388112213?classType=REGULAR&from=%2Fsearch&sid=dd9538ee-3432-473e-a247-d4f2168a122b
90591017,"FORNABODA  Built-in dishwasher, panel-ready, 24 ",Best Buy,https://www.bestbuy.com/site/searchpage.jsp?st=kitchenaid+model%3A+kdtf324ppa&id=pcat17071
90591017,"FORNABODA  Built-in dishwasher, panel-ready, 24 ",Home Depot,https://www.homedepot.com/p/GE-Profile-18-in-Built-In-Tall-Tub-Dishwasher-Custom-Panel-Ready-UDT165SIVII/325792232
0,Frames,Amazon,https://www.amazon.com/upsimples-Picture-Display-Pictures-Without/dp/B0B1CNJL7N/ref=sr_1_3_sspa?crid=1AZABS2HFPT84&dib=eyJ2IjoiMSJ9.aob_pi88xNSJ0aAJmg-Oi8e0PfJXPsrZtSP0xhl5JNcobRGHftIEH99hWDOFGe4Dlua6c4L_66pOwG9F4PHrrRMTqms4Zi59Hsg3qIlrQduhFANi8G2dkckP4eUSU051hVvmVIdpoGXKri2kVNH4gqxDTii3yT794XaYabWm2frTWvGH4s0gU8Jd-d_PlsoUxEyjSYiA-gJ1Cz9GdP2luvnuHzH2Y1z_AP3RSOGkgKNgvKxvu2FC6v1mJQnxPKIkrtIJlXj4TtpM4d9DZd86avd_dEE6L3NY21JNQ-tUtMs.NQBmMDsY9vsqIg2QpaPzM8POsWSFKDYanFLTNFE7-pw&dib_tag=se&keywords=frames&qid=1746040402&sprefix=frames%2Caps%2C78&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
